country_iso;country_name;year;Suhu;Curah_Hujan;Kelembapan;CH4_Agriculture;CO2_Agriculture;N2O_Agriculture;CH4_Buildings;CO2_Buildings;N2O_Buildings;CH4_Transport;CO2_Transport;N2O_Transport;CH4_Waste;CO2_Waste;N2O_Waste
SG;Singapore;2021;27,22;2762,34;82,01;0,010223435;0,160719682;0,008864232;0,001553413;0,652576201;0,000294039;0,028247861;6,144181041;0,065170022;4,24820277;0,040966131;0,084731289
SG;Singapore;2022;27,25;2719,8;82,33;0,006769749;0,151751798;0,007990662;0,001726544;0,722786438;0,00032681;0,027967278;6,030510182;0,063579462;4,423384297;0,04147157;0,086420883
SG;Singapore;2023;26,17;2921,56;83,19;0,006193739;0,130145443;0,00793664;0,00173996;0,731921433;0,00032935;0,031202833;6,711262227;0,070871345;4,850550384;0,041983244;0,088144623
TH;Thailand;2013;26,9;1686,53;75,99;83,23950931;2,737637792;14,32931679;1,924437377;19,61912346;1,403425712;0,359704959;59,8357938;0,926173797;20,9880228;0,015850348;0,746342466
TH;Thailand;2014;26,95;1494,16;75,56;75,9102944;2,445352102;13,50208949;2,009297208;18,97628305;1,427620195;0,355398708;57,93014541;0,891775535;21,34803468;0,016177921;0,752733414
TH;Thailand;2015;27,32;1485,24;74,99;69,57862257;2,247928315;12,44215015;1,910261249;18,59311721;1,410380022;0,328712108;61,74101524;0,917357726;21,67203814;0,016501312;0,747321994
TH;Thailand;2016;27,48;1601,4;74,87;75,94412051;2,487256853;13,33466154;1,252963062;15,82688891;1,050255916;0,355620883;65,72523362;0,918398839;22,10390121;0,01680937;0,749442497
TH;Thailand;2017;27,01;1901,74;77,31;76,01443374;2,732190151;14,18165852;1,228355855;14,92214636;0,958627016;0,345385058;71,98896547;0,997416392;22,6402273;0,017111852;0,762960289
TH;Thailand;2018;26,97;1750,29;77,41;75,7491246;2,67320919;14,14193596;1,193419138;15,64324665;1,039429056;0,35069289;72,11216213;1,034547841;23,29182539;0,017408759;0,748359246
TH;Thailand;2019;27,57;1426,76;73,47;70,34423903;2,201728293;12,91620585;1,159985341;15,6914249;1,053381761;0,350406354;73,77924676;1,050337983;23,47837274;0,01770009;0,765227166
TH;Thailand;2020;27,49;1506,67;74,14;76,97739154;2,298318756;13,22715303;0,879252062;13,47140425;0,825694017;0,331010687;73,14688417;1,022674399;23,42306808;0,017988633;0,79290956
TH;Thailand;2021;26,96;1735,28;76,23;78,13160919;2,186014021;12,53549384;0,740947648;13,26306422;0,784439667;0,29971813;68,5838524;0,95004605;24,57132147;0,018267418;0,803039966
TH;Thailand;2022;26,89;1858,35;77,62;80,0041888;2,149464984;12,30241117;0,756840618;13,08772866;0,7616495;0,323543127;78,88040768;1,084046851;24,8872437;0,018559028;0,813407288
TH;Thailand;2023;27,51;1526,43;74,76;77,24319675;2,104190553;12,28945034;0,756779342;13,0552301;0,759946678;0,326486394;79,7892774;1,101763882;25,35439983;0,018855292;0,823942472
VN;Vietnam;2013;24,8;2226,26;81,04;77,65127814;2,918928319;16,38444878;4,364618671;12,18435654;0,624414467;0,161400071;29,29959311;0,330933959;11,69007967;0,038751181;1,243279574
VN;Vietnam;2014;24,82;1927,31;80,78;77,29315519;2,730566465;15,73647197;4,345686977;11,85541831;0,62054093;0,150563057;29,96249843;0,330321163;12,09481132;0,040014079;1,257684053
VN;Vietnam;2015;25,37;1812,09;79,86;77,92876461;3,411361621;18,04916088;2,091769311;14,72091172;0,741993613;0,159770946;33,17956837;0,348081138;12,51086637;0,041286735;1,287464399
VN;Vietnam;2016;25,35;2054,31;80,32;77,63140157;3,142542599;16,8540305;1,853730602;14,25048208;0,777764517;0,195679061;36,78532427;0,365485111;12,85180797;0,04259842;1,31719264
VN;Vietnam;2017;25,04;2375,73;82,07;77,46235342;3,315452111;17,22071913;1,702835246;15,12964831;0,839379853;0,208026367;40,0402445;0,393264079;13,27609428;0,043917076;1,356482761
VN;Vietnam;2018;25,1;2109,15;81,22;76,77784704;3,338237825;17,32558321;1,543323453;15,06122565;0,848913297;0,211749347;41,84657934;0,403056477;13,70586086;0,045242701;1,38630439
VN;Vietnam;2019;25,58;1823,87;79,82;74,69352608;2,896247372;16,31102922;1,320372348;15,10427616;0,863918681;0,217461251;43,5675508;0,419890004;14,04533304;0,046580871;1,421155845
VN;Vietnam;2020;25,25;2145,61;80,69;73,65901734;2,568971258;15,77852203;1,022596678;14,53833101;0,797262551;0,183766267;36,62669429;0,350130374;14,4927135;0,047931587;1,457962604
VN;Vietnam;2021;24,93;2076,95;80,73;74,07014666;3,078533168;16,39563647;0,858028298;14,36918197;0,801774798;0,174337127;32,1156608;0,290911891;14,88019744;0,049305999;1,471852649
VN;Vietnam;2022;24,82;2236,44;81,35;73,20158287;2,757206406;16,21585128;0,854473271;15,4157574;0,859767315;0,18846336;35,04342922;0,317033841;15,27442095;0,050647515;1,502785678
VN;Vietnam;2023;25,46;1919,16;80,65;73,67361148;2,630478236;16,1962199;0,872033775;17,37356442;0,953548345;0,210445158;39,31827388;0,355659495;15,8261023;0,05202553;1,534369224
